run_id,run_url,ran_at_utc,commit_sha,fault_profile,fault_magnitude,target_category,iteration,scenario_name,outcome,duration_seconds
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:53:34Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,7,"LoginFieldValidation(""empty"",""empty login"",""2"",null)",Passed,5.719
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:53:34Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,7,LogoutFunctionality,Passed,6.784
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:53:34Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,7,"LoginFunctionalityWithValidation(""valid"",""successful"",""0"",null)",Passed,6.02
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:53:34Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,7,"LoginFunctionalityWithValidation(""invalid"",""unsuccessful"",""1"",null)",Passed,4.525
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:54:08Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,8,"LoginFieldValidation(""empty"",""empty login"",""2"",null)",Passed,5.666
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:54:08Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,8,"LoginFunctionalityWithValidation(""invalid"",""unsuccessful"",""1"",null)",Passed,4.469
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:54:08Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,8,"LoginFieldValidation(""invalid"",""bad email"",""3"",null)",Passed,6.321
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:54:08Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,8,LogoutFunctionality,Passed,8.027
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:54:08Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,8,"LoginFunctionalityWithValidation(""valid"",""successful"",""0"",null)",Passed,8.752
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:54:38Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,9,"LoginFunctionalityWithValidation(""invalid"",""unsuccessful"",""1"",null)",Passed,4.806
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:54:38Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,9,"LoginFunctionalityWithValidation(""valid"",""successful"",""0"",null)",Passed,6.522
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:54:38Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,9,LogoutFunctionality,Passed,5.353
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:54:38Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,9,"LoginFieldValidation(""empty"",""empty login"",""2"",null)",Passed,5.84
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:54:38Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,9,"LoginFieldValidation(""invalid"",""bad email"",""3"",null)",Passed,5.562
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:55:07Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,10,LogoutFunctionality,Passed,5.714
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:55:07Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,10,"LoginFunctionalityWithValidation(""invalid"",""unsuccessful"",""1"",null)",Passed,4.041
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:55:07Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,10,"LoginFunctionalityWithValidation(""valid"",""successful"",""0"",null)",Passed,6.493
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:55:07Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,10,"LoginFieldValidation(""empty"",""empty login"",""2"",null)",Passed,5.92
35989394917,https://github.com/gwuxdesign/ClientPortal.PRAT/actions/runs/35989394917,2026-09-24T10:55:07Z,029a1ea306491186efaa4d615575416f5936bc10,Timing,0,Login,10,"LoginFieldValidation(""invalid"",""bad email"",""3"",null)",Passed,5.639
